participant_id,state,urbanicity,parent_relationship,parent_education,hh_income,parent_ethnicity,parent_employment,hs_type,parenting_course,childdev_course,hs_parenting_support,hs_parenting_support_reason,hs_parenting_anti_reason,hs_childdev_support,hs_childdev_support_reason,hs_childdev_anti_reason,parenting_source,source_trusted,source_freq,parenting_attitude1,parenting_attitude2,parenting_attitude3,parenting_attitude4,parenting_attitude5,parenting_attitude6,parenting_attitude7,parenting_attitude8,parenting_attitude9,parenting_attitude10,parenting_attitude11,parenting_attitude12,parenting_attitude13,parenting_attitude14,parenting_attitude15,parenting_attitude16,parenting_attitude17,parenting_attitude18,parenting_attitude19,topics_important,topics_unimportant,teaching_parenting_importance,teaching_childdev_importance,parent_style_strict,parent_style_warmth,parent_style_negotiate,parent_style_permissive,parent_style_connection,parent_style_explainrules
P011,Massachusetts,Urban,Father,"Doctoral degree (e.g. MD, PhD, EdD) or Professional degree (e.g. JD)","35,000 – 65,000 USD",Caucasian,Part-time job,Public,No,No,No,,They are too young to be thinking about parenting,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Friends,School/Daycare",Pediatrician,The internet (e.g. through a Google search),Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,"Child language and cognitive development (e.g. learning, talking, reasoning)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Slightly important,Important,65,45,31,42,48,70
P012,North Carolina,Suburban,Father,Bachelor’s degree,"More than 250,000 USD",Caucasian,Full-time job,"Private,Public",No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Social media,Friends,School/Daycare",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Parenting behaviors and approaches (e.g. parenting styles).,"Child physical development (e.g. body growth, motor skills, etc.)",Important,Slightly important,66,12,76,59,90,35
P013,Massachusetts,Suburban,Step-mother,High school diploma/GED,"0 - 35,000 USD",Caucasian,"Full-time job,Student",Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,"Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Social media",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),Parenting behaviors and approaches (e.g. parenting styles).,Important,Important,61,100,74,51,99,58
P014,Mississippi,Suburban,Mother,Associate degree,"35,000 – 65,000 USD",Caucasian,Full-time job,Public,No,No,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,Everybody should know about how children grow and learn,,Internet search (e.g. through a Google search),Pediatrician,The internet (e.g. through a Google search),Agree,Agree,Disagree,Agree,Disagree,Slightly disagree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Important,Slightly important,28,68,36,22,81,100
P015,Georgia,Suburban,Father,Bachelor’s degree,"More than 250,000 USD",Caucasian,Full-time job,Public,No,No,No,,"They are too young to be thinking about parenting,High school is not the right place to learn about parenting",No,,"They don't need to know about child development at this age,High school is not the right place to learn about child development","My parents,My partner’s parents,Internet search (e.g. through a Google search),Pediatrician,Friends",My parents,My parents,Agree,Slightly disagree,Slightly agree,Strongly agree,Disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parenting behaviors and approaches (e.g. parenting styles).,Not important,Not important,33,65,40,50,80,65
P016,Maryland,Suburban,Mother,Master’s degree,"175,001 – 250,000 USD",African-American,Full-time job,Private,Yes,Yes,No,,"They are too young to be thinking about parenting,High school is not the right place to learn about parenting",Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids,Other (please specify):",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Parenting newsletters/ subscription,Social media,Friends,School/Daycare",Pediatrician,Pediatrician,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Child social and emotional development (e.g. regulating emotions),Parenting behaviors and approaches (e.g. parenting styles).,Not important,Important,80,88,23,31,91,56
P017,North Dakota,Urban,Father,Bachelor’s degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Pediatrician,Friends",Friends,The internet (e.g. through a Google search),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Child social and emotional development (e.g. regulating emotions),"Child language and cognitive development (e.g. learning, talking, reasoning)",Extremely important,Extremely important,32,89,76,63,91,89
P018,New York,Urban,Mother,Master’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,Home School,Yes,No,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Other (please specify):",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Online discussion platform,Friends",Online discussion platform,Friends,Agree,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Strongly agree,Agree,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Important,Important,36,85,74,71,63,62
P019,Washington,Suburban,Father,Bachelor’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,I do not have a child in high school,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Social media,Online discussion platform",Online discussion platform,AI (e.g. ChatGPT),Strongly agree,Slightly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Child and family nutrition (e.g. how to provide proper nutrition),Important,Slightly important,45,85,25,70,75,25
P020,Nebraska,Urban,Mother,Associate degree,"175,001 – 250,000 USD","Caucasian,Asian/Pacific Islander",Stay at home parent,Home School,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Social media,Friends",Friends,The internet (e.g. through a Google search),Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parent/caregiver well-being (e.g. women’s well-being during pregnancy),Slightly important,Slightly important,30,90,85,60,95,95
P021,West Virginia,Urban,Mother,Bachelor’s degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Private,No,Yes,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,Everybody should know about how children grow and learn,,"My partner’s parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT)",My partner’s parents,My partner’s parents,Agree,Agree,Slightly disagree,Strongly agree,Slightly disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Slightly agree,Agree,"Child physical development (e.g. body growth, motor skills, etc.)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Very important,Very important,50,79,56,67,95,70
P022,Missouri,Urban,Father,High school diploma/GED,"105,001 – 175,000 USD",Caucasian,Full-time job,"Private,Religious",No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),Pediatrician,Friends",Pediatrician,Friends,Agree,Slightly disagree,Disagree,Strongly agree,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Agree,Slightly agree,Agree,Child and family nutrition (e.g. how to provide proper nutrition),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Important,Slightly important,35,50,70,60,80,40
P023,Wisconsin,Suburban,Father,Associate degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,Yes,No,Yes,"Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,Everybody should know about how children grow and learn,,"Internet search (e.g. through a Google search),Pediatrician",Pediatrician,The internet (e.g. through a Google search),Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,Agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,Slightly agree,Strongly agree,"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Parent/caregiver well-being (e.g. women’s well-being during pregnancy),Important,Important,70,95,85,30,96,90
P024,Wisconsin,Urban,Father,Bachelor’s degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,No,Yes,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,Everybody should know about how children grow and learn,,"Internet search (e.g. through a Google search),Books,Online discussion platform,Friends",Books,The internet (e.g. through a Google search),Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Slightly disagree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Slightly important,Slightly important,40,70,35,30,70,75
P025,Florida,Suburban,Father,"Doctoral degree (e.g. MD, PhD, EdD) or Professional degree (e.g. JD)","65,001 – 105,000 USD",Caucasian,Full-time job,Public,No,No,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,"My parents,AI (e.g. ChatGPT),Books",My parents,AI (e.g. ChatGPT),Agree,Slightly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Child social and emotional development (e.g. regulating emotions),"Child physical development (e.g. body growth, motor skills, etc.)",Important,Important,67,59,44,71,38,17
P026,New York,Rural,Father,Associate degree,"175,001 – 250,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),Pediatrician,Books,Social media,Online discussion platform,Friends,School/Daycare",Pediatrician,The internet (e.g. through a Google search),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Child physical development (e.g. body growth, motor skills, etc.)",Very important,Very important,60,65,75,35,90,90
P027,Illinois,Rural,Mother,Associate degree,"175,001 – 250,000 USD",Caucasian,Stay at home parent,Home School,No,Yes,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,"Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,Friends,Friends,Friends,Agree,Agree,Slightly disagree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parenting behaviors and approaches (e.g. parenting styles).,Very important,Important,40,90,75,80,90,90
P028,Washington,Suburban,Mother,Master’s degree,"105,001 – 175,000 USD",Caucasian,"Full-time job,Part-time job",Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Pediatrician,Books,Social media,Online discussion platform,Friends",Books,Online discussion platform,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Disagree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Child social and emotional development (e.g. regulating emotions),"Identifying health challenges (e.g. recognizing developmental issues, treating injury) with their children",Very important,Extremely important,18,83,76,71,90,82
P029,Connecticut,Rural,Mother,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,Stay at home parent,Home School,Yes,Yes,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Academic journals,Parenting newsletters/ subscription,Social media,Online discussion platform,Friends",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Agree,Agree,Slightly agree,Agree,Child and family nutrition (e.g. how to provide proper nutrition),"Child physical development (e.g. body growth, motor skills, etc.)",Slightly important,Slightly important,30,85,60,50,86,75
